Name,Fascinating?,Feasible?,Research question,Status,Tags
Pierwszy szkic,Yes,Yes,Jak zmieniło się postrzeganie tematu przez ostatnie miesiące?,Abandoned,Szkic
Ewolucja technologi serwerowych,Yes,No,Wyszukać historię podejść używanych do tworzenia architektury serwerowej dla serwis internetowych,Researching,Wstęp
